Posição,Time,PTS,Estado,J,V,E,D,GP,GC,SG,CA,CV,%,Ano,Serie,Serie_Anterior,Peso
5º,Csa,62, AL,38,18,8,12,48,33,15,99,3,54,2021,B,B,0.7
6º,Guarani,60, SP,38,16,12,10,54,41,13,106,12,52,2021,B,B,0.7
7º,Crb,60, AL,38,16,12,10,47,39,8,84,5,52,2021,B,B,0.7
8º,Náutico,53, PE,38,14,11,13,50,50,0,103,11,46,2021,B,B,0.7
9º,Vila Nova,51, GO,38,12,15,11,35,36,-1,95,3,44,2021,B,C,0.5
10º,Vasco da Gama,49, RJ,38,13,10,15,43,52,-9,94,9,42,2021,B,A,1.0
11º,Ponte Preta,49, SP,38,12,13,13,39,40,-1,79,7,42,2021,B,B,0.7
12º,Operário,48, PR,38,13,9,16,35,46,-11,93,8,42,2021,B,B,0.7
13º,Brusque,48, SC,38,13,9,16,44,56,-12,90,3,42,2021,B,C,0.5
14º,Cruzeiro,48, MG,38,10,18,10,42,44,-2,91,14,42,2021,B,B,0.7
15º,Sampaio Corrêa,47, MA,38,12,11,15,41,42,-1,112,8,41,2021,B,C,0.5
16º,Londrina,44, PR,38,11,11,16,31,41,-10,121,3,38,2021,B,C,0.5
17º,Remo,43, PA,38,11,10,17,31,42,-11,93,7,37,2021,B,C,0.5
18º,Vitória,40, BA,38,8,16,14,31,32,-1,92,8,35,2021,B,B,0.7
19º,Confiança,37, SE,38,9,10,19,35,48,-13,104,8,32,2021,B,B,0.7
20º,Brasil,23, RS,38,4,11,23,23,52,-29,103,8,20,2021,B,B,0.7
1º,Palmeiras,81, SP,38,23,12,3,66,27,39,85,6,71,2022,A,A,1.0
2º,Internacional,73, RS,38,20,13,5,58,31,27,94,5,64,2022,A,A,1.0
3º,Fluminense,70, RJ,38,21,7,10,63,41,22,85,11,61,2022,A,A,1.0
4º,Corinthians,65, SP,38,18,11,9,44,36,8,84,6,57,2022,A,A,1.0
5º,Flamengo,62, RJ,38,18,8,12,60,39,21,84,4,54,2022,A,A,1.0
6º,Athletico Paranaense,58, PR,38,16,10,12,48,48,0,95,4,50,2022,A,A,1.0
7º,Atlético Mineiro,58, MG,38,15,13,10,45,37,8,93,3,50,2022,A,A,1.0
8º,Fortaleza,55, CE,38,15,10,13,46,39,7,88,8,48,2022,A,A,1.0
9º,São Paulo,54, SP,38,13,15,10,55,42,13,102,9,47,2022,A,A,1.0
10º,América Fc,53, MG,38,15,8,15,40,40,0,88,5,46,2022,A,B,0.7
11º,Botafogo,53, RJ,38,15,8,15,41,43,-2,98,6,46,2022,A,B,0.7
12º,Santos,47, SP,38,12,11,15,44,41,3,102,7,41,2022,A,A,1.0
13º,Goiás,46, GO,38,11,13,14,40,53,-13,117,8,40,2022,A,B,0.7
14º,Red Bull Bragantino,44, SP,38,11,11,16,49,59,-10,93,7,38,2022,A,A,1.0
15º,Coritiba,42, PR,38,12,6,20,39,60,-21,113,12,36,2022,A,B,0.7
16º,Cuiabá,41, MT,38,10,11,17,31,42,-11,82,11,35,2022,A,A,1.0
17º,Ceará,37, CE,38,7,16,15,34,41,-7,127,10,32,2022,A,A,1.0
18º,Atlético,36, GO,38,8,12,18,39,57,-18,104,9,31,2022,A,A,1.0
19º,Avaí,35, SC,38,9,8,21,34,60,-26,102,4,30,2022,A,B,0.7
20º,Juventude,22, RS,38,3,13,22,29,69,-40,112,8,19,2022,A,A,1.0
1º,Cruzeiro,78, MG,38,23,9,6,57,26,31,80,12,68,2022,B,B,0.7
2º,Grêmio,65, RS,38,17,14,7,50,26,24,73,3,57,2022,B,A,1.0
3º,Bahia,62, BA,38,17,11,10,43,29,14,77,8,54,2022,B,A,1.0
4º,Vasco da Gama,62, RJ,38,17,11,10,48,36,12,35,3,54,2022,B,B,0.7
5º,Sampaio Corrêa,58, MA,38,16,10,12,48,42,6,75,3,50,2022,B,B,0.7
6º,Ituano,57, SP,38,15,12,11,42,34,8,95,6,50,2022,B,C,0.5
7º,Sport,57, PE,38,15,12,11,37,31,6,86,11,50,2022,B,A,1.0
8º,Criciúma,56, SC,38,14,14,10,43,31,12,86,3,49,2022,B,C,0.5
9º,Londrina,53, PR,38,14,11,13,36,37,-1,76,8,46,2022,B,B,0.7
10º,Guarani,51, SP,38,13,12,13,33,36,-3,100,4,44,2022,B,B,0.7
11º,Crb,50, AL,38,13,11,14,35,43,-8,102,7,43,2022,B,B,0.7
12º,Ponte Preta,49, SP,38,12,13,13,34,36,-2,124,8,42,2022,B,B,0.7
13º,Vila Nova,47, GO,38,9,20,9,28,31,-3,85,5,41,2022,B,B,0.7
14º,Chapecoense,45, SC,38,11,12,15,37,39,-2,100,6,39,2022,B,A,1.0
15º,Tombense,45, MG,38,10,15,13,38,47,-9,85,1,39,2022,B,C,0.5
16º,Novorizontino,44, SP,38,11,11,16,44,49,-5,108,5,38,2022,B,C,0.5
17º,Csa,42, AL,38,9,15,14,29,37,-8,88,8,36,2022,B,B,0.7
18º,Brusque,34, SC,38,8,10,20,21,38,-17,88,7,29,2022,B,B,0.7
19º,Operário,34, PR,38,7,13,18,31,53,-22,81,6,29,2022,B,B,0.7
20º,Náutico,30, PE,38,8,6,24,32,65,-33,101,10,26,2022,B,B,0.7
1º,Botafogo,15, RJ,6,5,0,1,13,6,7,13,2,83,2023,A,A,1.0
2º,Palmeiras,14, SP,6,4,2,0,16,6,10,22,1,77,2023,A,A,1.0
3º,Fluminense,13, RJ,6,4,1,1,12,5,7,23,1,72,2023,A,A,1.0
4º,Cruzeiro,12, MG,6,4,0,2,11,5,6,16,1,66,2023,A,B,0.7
5º,Athletico Paranaense,12, PR,6,4,0,2,10,7,3,19,1,66,2023,A,A,1.0
6º,Atlético Mineiro,10, MG,6,3,1,2,9,5,4,19,0,55,2023,A,A,1.0
7º,Santos,10, SP,6,3,1,2,8,5,3,18,2,55,2023,A,A,1.0
8º,Fortaleza,10, CE,6,2,4,0,9,4,5,12,1,55,2023,A,A,1.0
9º,Flamengo,9, RJ,6,3,0,3,12,9,3,15,0,50,2023,A,A,1.0
10º,São Paulo,9, SP,6,2,3,1,8,4,4,19,2,50,2023,A,A,1.0
11º,Grêmio,8, RS,6,2,2,2,7,9,-2,22,0,44,2023,A,B,0.7
12º,Internacional,7, RS,6,2,1,3,4,8,-4,19,0,38,2023,A,A,1.0
13º,Red Bull Bragantino,7, SP,6,1,4,1,9,11,-2,21,2,38,2023,A,A,1.0
14º,Bahia,6, BA,6,2,0,4,8,11,-3,16,2,33,2023,A,B,0.7
15º,Goiás,6, GO,6,2,0,4,5,12,-7,18,2,33,2023,A,A,1.0
16º,Vasco da Gama,6, RJ,6,1,3,2,6,7,-1,19,1,33,2023,A,B,0.7
17º,Corinthians,5, SP,6,1,2,3,6,11,-5,15,0,27,2023,A,A,1.0
18º,Cuiabá,4, MT,6,1,1,4,5,12,-7,19,2,22,2023,A,A,1.0
19º,Coritiba,2, PR,6,0,2,4,5,14,-9,21,0,11,2023,A,A,1.0
20º,América Fc,1, MG,6,0,1,5,5,17,-12,21,1,5,2023,A,A,1.0
1º,Vitória,15, BA,6,5,0,1,15,3,12,14,0,83,2023,B,C,0.5
2º,Criciúma,14, SC,6,4,2,0,8,3,5,17,2,77,2023,B,B,0.7
3º,Atlético,14, GO,6,4,2,0,13,9,4,13,2,77,2023,B,A,1.0
4º,Guarani,12, SP,6,4,0,2,10,4,6,22,0,66,2023,B,B,0.7
5º,Botafogo,12, SP,6,4,0,2,7,7,0,13,1,66,2023,B,A,1.0
6º,Vila Nova,11, GO,5,3,2,0,7,2,5,15,0,73,2023,B,B,0.7
7º,Mirassol,10, SP,6,3,1,2,6,5,1,18,1,55,2023,B,C,0.5
8º,Chapecoense,8, SC,6,2,2,2,10,6,4,24,0,44,2023,B,B,0.7
9º,Sport,8, PE,4,2,2,0,6,3,3,6,0,66,2023,B,B,0.7
10º,Novorizontino,8, SP,6,2,2,2,5,4,1,21,4,44,2023,B,B,0.7
11º,Ituano,7, SP,6,2,1,3,7,7,0,17,1,38,2023,B,B,0.7
12º,Londrina,7, PR,6,2,1,3,6,8,-2,12,0,38,2023,B,B,0.7
13º,Ceará,7, CE,6,2,1,3,4,8,-4,22,1,38,2023,B,A,1.0
14º,Avaí,6, SC,6,2,0,4,4,12,-8,21,4,33,2023,B,A,1.0
15º,Crb,5, AL,5,1,2,2,3,5,-2,17,1,33,2023,B,B,0.7
16º,Sampaio Corrêa,5, MA,6,1,2,3,6,10,-4,21,2,27,2023,B,B,0.7
17º,Ponte Preta,5, SP,6,1,2,3,4,9,-5,20,4,27,2023,B,B,0.7
18º,Tombense,4, MG,6,1,1,4,6,9,-3,14,1,22,2023,B,B,0.7
19º,Juventude,3, RS,6,1,0,5,3,7,-4,21,1,16,2023,B,A,1.0
20º,Abc,1, RN,6,0,1,5,3,12,-9,14,1,5,2023,B,C,0.5
