Posição,Time,PTS,Estado,J,V,E,D,GP,GC,SG,CA,CV,%,Ano,Serie,Serie_Anterior,Peso
1,Cruzeiro,76, MG,38,23,7,8,77,37,40,73,4,66,2013,A,A,1.0
2,Grêmio,65, RS,38,18,11,9,42,35,7,79,6,57,2013,A,A,1.0
3,Athletico Paranaense,64, PR,38,18,10,10,65,49,16,92,5,56,2013,A,B,0.7
4,Botafogo,61, RJ,38,17,10,11,55,41,14,82,3,53,2013,A,A,1.0
5,Vitória,59, BA,38,16,11,11,59,53,6,67,1,51,2013,A,B,0.7
6,Goiás,59, GO,38,16,11,11,48,44,4,68,5,51,2013,A,B,0.7
7,Santos,57, SP,38,15,12,11,51,38,13,80,3,50,2013,A,A,1.0
8,Atlético Mineiro,57, MG,38,15,12,11,49,38,11,104,9,50,2013,A,A,1.0
9,São Paulo,50, SP,38,14,8,16,39,40,-1,88,10,43,2013,A,A,1.0
10,Corinthians,50, SP,38,11,17,10,27,22,5,66,3,43,2013,A,A,1.0
11,Coritiba,48, PR,38,12,12,14,42,45,-3,101,4,42,2013,A,A,1.0
12,Bahia,48, BA,38,12,12,14,37,45,-8,102,7,42,2013,A,A,1.0
13,Internacional,48, RS,38,11,15,12,51,52,-1,95,7,42,2013,A,A,1.0
14,Criciuma,46, SC,38,13,7,18,49,63,-14,100,6,40,2013,A,B,0.7
15,Fluminense,46, RJ,38,12,10,16,43,47,-4,81,11,40,2013,A,A,1.0
16,Flamengo,45, RJ,38,12,13,13,43,46,-3,66,5,39,2013,A,A,1.0
17,Portuguesa,44, SP,38,12,12,14,50,46,4,89,9,38,2013,A,A,1.0
18,Vasco da Gama,44, RJ,38,11,11,16,50,61,-11,92,2,38,2013,A,A,1.0
19,Ponte Preta,37, SP,38,9,10,19,37,55,-18,81,4,32,2013,A,A,1.0
20,Náutico,20, PE,38,5,5,28,22,79,-57,77,3,17,2013,A,A,1.0
1,Palmeiras,79, SP,38,24,7,7,71,28,43,81,10,69,2013,B,A,1.0
2,Chapecoense,72, SC,38,20,12,6,60,31,29,85,6,63,2013,B,C,0.5
3,Sport,63, PE,38,20,3,15,64,56,8,86,9,55,2013,B,A,1.0
4,Figueirense,60, SC,38,18,6,14,63,52,11,102,8,52,2013,B,A,1.0
5,Icasa,59, CE,38,18,5,15,50,54,-4,112,9,51,2013,B,C,0.5
6,Joinville,59, SC,38,17,8,13,58,44,14,89,4,51,2013,B,B,0.7
7,Ceará,59, CE,38,16,11,11,60,50,10,107,8,51,2013,B,B,0.7
8,Paraná,57, PR,38,16,9,13,55,39,16,97,4,50,2013,B,B,0.7
9,América,57, MG,38,14,15,9,51,42,9,91,5,50,2013,B,B,0.7
10,Avaí,56, SC,38,16,8,14,49,46,3,79,7,49,2013,B,B,0.7
11,Boa,50, MG,38,13,11,14,33,46,-13,113,3,43,2013,B,B,0.7
12,Red Bull Bragantino,47, SP,38,13,8,17,37,43,-6,128,11,41,2013,B,B,0.7
13,América,47, RN,38,11,14,13,48,56,-8,105,9,41,2013,B,B,0.7
14,Abc,46, RN,38,13,7,18,45,58,-13,124,10,40,2013,B,C,0.5
15,Oeste,46, SP,38,11,13,14,44,58,-14,107,11,40,2013,B,C,0.5
